ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย
1,ลำดับการเจริญเติบโตของร่างกายเราจะเป็นไปตามข้อใด,วัยเด็ก-วัยแรกเกิด-วัยรุ่น,วัยแรกเกิด-วันเด็ก-วัยผู้ใหญ่,วัยรุ่น-วัยผู้ใหญ่-วัยรุ่น,วัยเด็ก-วัยผู้ใหญ่-วัยรุ่น,2,ลำดับการเจริญเติบดตของร่างกายเราจำเป็นไปตามขั้นตอน วัยแรกเกิด - วัยเด็ก - วัยรุ่น,ตอบ 2. ลำดับการเจริญเติบดตของร่างกายเราจำเป็นไปตามขั้นตอน วัยแรกเกิด - วัยเด็ก - วัยรุ่น
2,การเปลี่ยนแปลงของคนเราส่วนใดที่มองไม่เห็น,จิตใจ,แขน,ขา,ลำตัว,1,เรื่องของจิตใจและสิ่งที่อยู่ภายในใจ เป็นสิ่งที่ไม่สามารถมองเห็นได้,ตอบ 1. เรื่องของจิตใจและสิ่งที่อยู่ภายในใจ เป็นสิ่งที่ไม่สามารถมองเห็นได้
3,การเปลี่ยนแปลงของ่างกายส่วนใดที่เราจะทราบได้ด้วยการชั่ง,ขนาดของแขน,ความยาวของขา,ความอ้วนผอม,ความแข็งแรง,3,ความอ้วนและความผอม คือสิ่งที่สามารถทรางได้ด้วยการชั่ง,ตอบ 3. ความอ้วนและความผอม คือสิ่งที่สามารถทรางได้ด้วยการชั่ง
4,ส่วนใดของร่างกายที่ไม่มีมาพร้อมกับการเกิดครั้งแรก,ตา,หู,จมูก,ฟัน,4,"ฟันนั้น เป็นอวัยวะที่ไม่ได้มีมาพร้อมกับการเติบโตของทารกที่อยู่ในท้อง เพราะในช่วงที่อยู่
ในท้อง ทารกจะรับสารอาหารจากทางสายสะดือของแม่ แต่เมื่อเกิดมาแล้ว จะดื่มนมแม่ พร้อมทั้งจะค่อยๆ 
เกิดพัฒนาการมีฟันน้ำนมงอกขึ้นมา เพื่อใช้กินอาหารประเภทอื่นๆ","ตอบ 4. ฟันนั้น เป็นอวัยวะที่ไม่ได้มีมาพร้อมกับการเติบโตของทารกที่อยู่ในท้อง เพราะในช่วงที่อยู่
ในท้อง ทารกจะรับสารอาหารจากทางสายสะดือของแม่ แต่เมื่อเกิดมาแล้ว จะดื่มนมแม่ พร้อมทั้งจะค่อยๆ 
เกิดพัฒนาการมีฟันน้ำนมงอกขึ้นมา เพื่อใช้กินอาหารประเภทอื่นๆ"
5,ข้อใดที่ไม่สามารถถือเป็นเกณฑ์วัดความเจริญเติบโตของร่างกายที่แน่นอน,น้ำหนัก,ความยาวของเส้นผม,ความยาวของลำตัว,ส่วนสูง,2,การวัดความยาวของเส้นผม ไม่ใช่วัดความเจริญเติบโตของร่างกายที่แน่นอน,ตอบ 2. การวัดความยาวของเส้นผม ไม่ใช่วัดความเจริญเติบโตของร่างกายที่แน่นอน
6,ร่างกายของคนเรามีการเจริญเติบโตเมื่อใด,หลังจากที่ลืมตาได้,หลังจากการปฏิสนธิ,หลังจากมีอายุ 1 สัปดาห์,หลังจากคลอดจากครรภ์มารดา,2,"หลังจากที่ไข่ของแม่ผสมกับสเปิร์มของพ่อแล้ว จะเกิดการปฏิสนธิ ทำให้เกิดชีวิตและการเจริญเติบโต
เริ่มขึ้นแล้ว","ตอบ 2. หลังจากที่ไข่ของแม่ผสมกับสเปิร์มของพ่อแล้ว จะเกิดการปฏิสนธิ ทำให้เกิดชีวิตและการเจริญเติบโต
เริ่มขึ้นแล้ว"
7,การที่โรงเรียนมีการเก็บข้อมูลมวลและส่วนสูงของนักเรียน เพื่อประโยชน์ข้อใด,จำแนกที่มีสุขภาพดีและสุขภาพไม่ดี,ส่งเสริมให้เด็กที่มีสุขภาพดีมีสุขภาพดียิ่งขึ้น,ช่วยดูแลรักษาเด็กที่มีสุขภาพไม่ดีให้มีสุขภาพดียิ่งขึ้น,"ดูภาวะโภชนาการของเด็ก และให้คำแนะนำกับผู้ปกครองของเด็ก
ที่มีปัญหาทางด้านสุขภาพ",4,เพื่อดูภาวะโภชนาการของเด็ก และให้คำแนะนำกับผู้ปกครองของเด็กที่มีปัญหาทางด้านสุขภาพ,ตอบ 4. เพื่อดูภาวะโภชนาการของเด็ก และให้คำแนะนำกับผู้ปกครองของเด็กที่มีปัญหาทางด้านสุขภาพ
8,"ผักชนิดหนึ่งเป็นแหล่งของวิตามิน A,B2, และ C หากแม่นำผักชนิดนี้ไปล้างน้ำก่อนนำมา
ประกอบอาหาร วิตามินชนิดใดจะไม่สูญเสียไป",วิตามิน A,วิตามิน B,วิตามิน C ,วิตามิน A และ C,1,เหตุผลเพราะวิตามิน A  ไม่ละลายในน้ำธรรมดา,ตอบ 1. เหตุผลเพราะวิตามิน A  ไม่ละลายในน้ำธรรมดา
9,"จากตารางทดสอบสารอาหาร 4 ชนิด ได้ผลดังตาราง





ถ้าคุณแม่มีน้ำหนัก 85 กิโลกรัม คุณแม่จะต้องหลีกเลี่ยงการรับประทานอาหารชนิด
ใดมากที่สุด",ชนิด A,ชนิด B,ชนิด C,ชนิด D,4," ถ้าคุณแม่มีน้ำหนัก 85 กิโลกรัม คุณแม่จะต้องหลีกเลี่งการรับประทานอาหารชนิด D มากที่สุด เพราะ
อาหารชนิด D มีแป้งอยู่มาก สังเกตุได้จากการใช้สารละลายไอโอดีน มีสีม่วงเข้ม ซึ่งหากรับประทานแป้งมาก
เท่าใด ก็จะส่งผลให้น้ำหนักเพิ่ม หรือเป็นโรคอ้วนได้ง่ายขึ้นเท่านั้น","ตอบ 4.  ถ้าคุณแม่มีน้ำหนัก 85 กิโลกรัม คุณแม่จะต้องหลีกเลี่งการรับประทานอาหารชนิด D มากที่สุด เพราะ
อาหารชนิด D มีแป้งอยู่มาก สังเกตุได้จากการใช้สารละลายไอโอดีน มีสีม่วงเข้ม ซึ่งหากรับประทานแป้งมาก
เท่าใด ก็จะส่งผลให้น้ำหนักเพิ่ม หรือเป็นโรคอ้วนได้ง่ายขึ้นเท่านั้น"
10,จากคำตอบที่ 9 คุณแม่ควรทำอย่างไรจึงจะเหมาะสมมากที่สุด,ลดการรับประทานอาหารเหลือวันละ 1 มื้อ,ออกกำลังกายอย่างสม่ำเสมอ,รับประทานยาลดความอ้วน,ดื่มน้ำให้มากขึ้น,4," คุณแม่ต้องออกกำลังกายให้มากขึ้น เพื่อให้ร่างกายเผาผลาญสารอาหารที่เกินความจำเป็นในร่างกาย
โดยเฉพาะแป้ง คาร์โบไฮเดรต อันเป็นสาเหตุของการมีน้ำหนักเกิน และเป็นโรคอ้วน","ตอบ 4.  คุณแม่ต้องออกกำลังกายให้มากขึ้น เพื่อให้ร่างกายเผาผลาญสารอาหารที่เกินความจำเป็นในร่างกาย
โดยเฉพาะแป้ง คาร์โบไฮเดรต อันเป็นสาเหตุของการมีน้ำหนักเกิน และเป็นโรคอ้วน"
11,ข้อใดไม่ใช่ก๊าซเรือนกระจก,คาร์บอนไดออกไซด์,ออกไซด์ของไนโตรเจน,คารบอนมอนอกไซด์,มีเทน,3," ก๊าซเรือนกระจกมี 4 ชนิด ได้แก่ ก๊าซคาร์บอนไดออกไซด์   มีเทน สารประกอบคลอโรฟลูออโรคาร์บอน
และก๊าซไนตรัสออกไซด์","ตอบ 3.  ก๊าซเรือนกระจกมี 4 ชนิด ได้แก่ ก๊าซคาร์บอนไดออกไซด์   มีเทน สารประกอบคลอโรฟลูออโรคาร์บอน
และก๊าซไนตรัสออกไซด์"
12,"ปัจจัยสำคัญที่ทำให้เกิดวิกฤตการณ์สิ่งแวดล้อมและทรัพยากรธรรมชาติของโลก
ที่ส่งผลต่อสุขภาพของมนุษย์คือข้อใด",ความเจริญของชุมชนเมือง,ความเจริญของอุตสาหกรรม,ความก้าวหน้าของเทคโนโลยี,การเพิ่มจำนวนประชากรมนุษย์,4,"  สาเหตุหลักที่ก่อให้เกิดปัญหาสิ่งแวดล้อมและทรัพยากรธรรมชาติในปัจจุบัน คือมนุษย์ ยิ่ง
ปัจจุบันประชากรมนุษย์เพิ่มจำนวนขึ้นอย่างต่อเนื่อง ความต้องการใช้ทรัพยากรย่อมมากขึ้นตาม
อีกทั้งมนุษย์ยังมีความรู้ความสามารถมากขึ้น ทำให้เกิดความเจริญก้าวหน้าทางอุตสาหกรรมเศษฐกิจ และ
เทคโนโลยี โดยที่ไม่ม่การวางแผนการใช้ทรัพยากร จึงส่งผลให้เกิดปัญหาดังกล่าว และในอนาคตทรัพยากรบาง
ชนิดอาจหมดไปจากโลกใบนี้","ตอบ 4.  สาเหตุหลักที่ก่อให้เกิดปัญหาสิ่งแวดล้อมและทรัพยากรธรรมชาติในปัจจุบัน คือมนุษย์ ยิ่ง
ปัจจุบันประชากรมนุษย์เพิ่มจำนวนขึ้นอย่างต่อเนื่อง ความต้องการใช้ทรัพยากรย่อมมากขึ้นตาม
อีกทั้งมนุษย์ยังมีความรู้ความสามารถมากขึ้น ทำให้เกิดความเจริญก้าวหน้าทางอุตสาหกรรมเศษฐกิจ และ
เทคโนโลยี โดยที่ไม่ม่การวางแผนการใช้ทรัพยากร จึงส่งผลให้เกิดปัญหาดังกล่าว และในอนาคตทรัพยากรบาง
ชนิดอาจหมดไปจากโลกใบนี้"
13,สารใดไม่จำเป็นสำหรับการแข็งตัวของเลือดในร่างกายคน,แคลเซี่ยม,วิตามินเค,ไฟบริโนเจน,โพแทสเซียม,4," ข้อ 1. แคลเซียมเป็นสารที่ทำปฏิกิริยากับเกล็ดเลือดเมื่อเลือดไหลผ่านและโปรตีนในเลือดทำให้เกิด
Plasma thromboplastion
ข้อ 2. วิตามินเค เป็นตัวสำคัญในการผลิต Thromboplastin  ทำให้ Prothromabin เปลี่ยนเป็น Thrombin
ข้อ 3. ไฟบริโนเจน เป็นโปรตีนในพลาสมา ให้แตกออกเป็น Fibrin เป็นเส้นใยเล็กๆซึ่งเป็นที่ยึดเกาะ
ของเม็ดเลือดแดงทำให้เกิดเลือดแข็งเป็นลิ่มเลือด
ข้อ4. โพแทสเซียม ไม่จำเป็นเลย","ตอบ 4 . ข้อ 1. แคลเซียมเป็นสารที่ทำปฏิกิริยากับเกล็ดเลือดเมื่อเลือดไหลผ่านและโปรตีนในเลือดทำให้เกิด
Plasma thromboplastion
ข้อ 2. วิตามินเค เป็นตัวสำคัญในการผลิต Thromboplastin  ทำให้ Prothromabin เปลี่ยนเป็น Thrombin
ข้อ 3. ไฟบริโนเจน เป็นโปรตีนในพลาสมา ให้แตกออกเป็น Fibrin เป็นเส้นใยเล็กๆซึ่งเป็นที่ยึดเกาะ
ของเม็ดเลือดแดงทำให้เกิดเลือดแข็งเป็นลิ่มเลือด
ข้อ4. โพแทสเซียม ไม่จำเป็นเลย"
14,"ภูมิอากาศของประเทศไทยที่มีลมมรสุมฤดูร้อนหรือลมมรสุมตะวันออกเฉียงใต้
ซึ่งส่งผลต่อสุขภาพของคนไทย จะเกิดขึ้นในช่วงเดือนใด",เมษายนถึงกลางเดือนมิถุนายน,พฤษภาคมถึงกลางเดือนตุลาคม,กรกฏาคมถึงกลางเดือนสิงหาคม,กันยายนถึงกลางเดือนพฤศจิกายน,2," พฤษภาคมถึงกลางเดือนตุลาคม เหตุผล ลมมรสุมฤดูร้อยหรือลมมรสุมตะวันตกเฉียงใต้ พัดปก
คลุมประเทศไทยในช่วงกลางเดือนพฤษภาคมถึงกลางเดือนตุลาคม มีแหล่งกำเนิดในบริเวณมหาสมุทรอินเดีย
มรสุมนี้ส่งผลต่อสุขภาพของคนไทยทั้งประเทศ","ตอบ 2.  พฤษภาคมถึงกลางเดือนตุลาคม เหตุผล ลมมรสุมฤดูร้อยหรือลมมรสุมตะวันตกเฉียงใต้ พัดปก
คลุมประเทศไทยในช่วงกลางเดือนพฤษภาคมถึงกลางเดือนตุลาคม มีแหล่งกำเนิดในบริเวณมหาสมุทรอินเดีย
มรสุมนี้ส่งผลต่อสุขภาพของคนไทยทั้งประเทศ"
15,ปรากฏการณ์ทางธรรมชาติที่เกี่ยวกับวาตภัยเป็นอันตรายที่เกิดจากสิ่งใด,ปรากฏการณ์ที่เกิดจากลม,ปรากฏการณ์ที่เกิดจากไฟ,ปรากฏกการณ์ที่เกิดจากน้ำ,ปรากฏการณ์ที่เกิดจากแสงแดด,1,"เป็นปรากฏการณ์ที่เกิดจากลม เหตุผลเพราะปรากฏการณ์ทางธรรมชาติที่เกี่ยวกับวาตภัยเป็นอันตราย
ที่เกิดจากลมที่พัดด้วจความแรง สร้างความเสียหายแก่สิ่งต่างๆ เช่น บ้านเรือน หรือสิ่งก่อสร้าง ต่างๆ 
รวมถึงชีวิตของประชาชน","ตอบ 1. เป็นปรากฏการณ์ที่เกิดจากลม เหตุผลเพราะปรากฏการณ์ทางธรรมชาติที่เกี่ยวกับวาตภัยเป็นอันตราย
ที่เกิดจากลมที่พัดด้วจความแรง สร้างความเสียหายแก่สิ่งต่างๆ เช่น บ้านเรือน หรือสิ่งก่อสร้าง ต่างๆ 
รวมถึงชีวิตของประชาชน"
16,ข้อใดไม่ใช่โรคที่เกิดจากการถ่ายทอดทางพันธุกรรม,โรคธาลัสซีเมีย,โรคตาบอดสี,โรคเอดส์,โรคฮีโมฟีเลีย,3,โรคเอดส์เป็นโรคที่ไม่ได้ถ่ายทอดทางพันธุกรรม,ตอบ 3. โรคเอดส์เป็นโรคที่ไม่ได้ถ่ายทอดทางพันธุกรรม
17,เฮโรอีน ในกฏหมายเกี่ยวกับยาเสพติดให้โทษ จัดเป็นยาเสพติดประเภทใด,ยาเสพติดประเภทที่ 1,ยาเสพติดประเภทที่ 2,ยาเสพติดประเภทที่ 3,ยาเสพติดประเภทที่ 4,1,"ยาเสพติดประเภทที่ 1 เพราะพระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน
ยาบ้าเป็นยาเสพติดประเภทที่ 1 ซึ่งมีโทษร้ายแรงมากที่สุด","ตอบ 1. ยาเสพติดประเภทที่ 1 เพราะพระราชบัญญัติยาเสพติดให้โทษ พุทธศักราช 2522 จัดให้เฮโรอีน
ยาบ้าเป็นยาเสพติดประเภทที่ 1 ซึ่งมีโทษร้ายแรงมากที่สุด"
18,อวัยวะข้อใดเกียวกับระบบย่อยอาหาร,ตับ,ไต,ปอด,กระเพาะ,4,กระเพาะ เป็นอวัยวะที่ทำหน้าที่ในการย่อยอาหาร,ตอบ 4. กระเพาะ เป็นอวัยวะที่ทำหน้าที่ในการย่อยอาหาร
19,ข้อใดไม่ได้เป็นการย่อยอาหารแบบเชิงกล,การบดเคี้ยวของฟัน,การบีบตัวของกระเพาะ,การบีบตัวของกล้ามเนื้อทางเดินอาหาร,การใช้น้ำย่อยที่กระเพาะ,4,ารใช้น้ำย่อยที่กระเพาะ ไม่ได้เป็ฯการย่อยอาหารแบบเชิงกล,ตอบ 4 การใช้น้ำย่อยที่กระเพาะ ไม่ได้เป็ฯการย่อยอาหารแบบเชิงกล
20,ข้อใดเป็นการย่อยอาหารทางเคมี,การบีบตัวของกระเพาะ,การบีบตัวของกล้ามเนื้อทางเดินอาหาร,การใช้น้ำย่อยที่กระเพาะ,การบดเคี้ยวอาหารในปาก,4,การบดเคี้ยวอาหารในปาก เป็นกระบวนการย่อยอาหารทางเคมี,ตอบ 4. การบดเคี้ยวอาหารในปาก เป็นกระบวนการย่อยอาหารทางเคมี
21,อวัยวะข้อใดเกียวข้องกับการย่อยอาหาร,ต่อมน้ำลาย,หลอดอาหาร,กระเพาะอาหาร,หัวใจ,4,หัวใจไม่ใช่เป็นอวัยวะที่ทำหน้าที่ย่อยอาหาร,ตอบ 4. หัวใจไม่ใช่เป็นอวัยวะที่ทำหน้าที่ย่อยอาหาร
22,อะไรทำให้เกิดการย่อยอาหารได้ดีขึ้น,น้ำปัสสาวะ,น้ำดี,น้ำเลือด,น้ำตา,2,"น้ำดี เป็นของเหลวสีเหลืองหรือเขียว มีรสขม หลังออกมาจากเซลล์ตับ เมื่อมีการรับประทานอาหาร
น้ำดีจะถูกปล่อยออกมาเข้าสู่ลำไส้เล็กส่วนต้น ทำหน้าที่ช่วยในการย่อยอาหาร","ตอบ 2. น้ำดี เป็นของเหลวสีเหลืองหรือเขียว มีรสขม หลังออกมาจากเซลล์ตับ เมื่อมีการรับประทานอาหาร
น้ำดีจะถูกปล่อยออกมาเข้าสู่ลำไส้เล็กส่วนต้น ทำหน้าที่ช่วยในการย่อยอาหาร"
23,น้ำลายถูกผลิตในส่วนใด,คอหอย,ต่อมน้ำลาย,ลิ้น,หลอดอาหาร,2,น้ำลายจะถูกผลิตที่ต่อมน้ำลาย,ตอบ 2. น้ำลายจะถูกผลิตที่ต่อมน้ำลาย
24,ข้อใดไม่ใช่หน้าที่ของลิ้น,คลุกเคล้าอาหารให้สัมผัสกับน้ำลาย,ช่วยในการกลืนอาหารจากคอหอย,สร้างน้ำย่อย,รับรู้รสของอาหาร,3,ลิ้นไม่ได้ทำหน้าที่ในการสร้างน้ำย่อย,ตอบ 3. ลิ้นไม่ได้ทำหน้าที่ในการสร้างน้ำย่อย
25,ข้อใดเป็นลักษณะของคอหอย,คลุกเคล้าอาหารให้สัมผัสกับน้ำลาย,ช่วยในการกลืนอาหารจากคอหอย,เป็นท่ออยู่หลังหลอดลมและปากเป็นที่อาหารและลมมาพบกัน,รับรู้รสของอาหาร,4,คอยหอยช่วยให้เกิดการรับรู้รสของอาหาร,ตอบ 4. คอยหอยช่วยให้เกิดการรับรู้รสของอาหาร
26,อาหารจะถูกดูดซึมเข้าร่างกายบริเวณใด,ลิ้น,ปาก,หลอดอาหาร,กระเพาะอาหาร,4,กระบวนการดูดซึมอาหารที่เรารับประทานเข้าไป จะถูกดูดซึมที่กระเพาะอาหาร,ตอบ 4. กระบวนการดูดซึมอาหารที่เรารับประทานเข้าไป จะถูกดูดซึมที่กระเพาะอาหาร
27,ข้อใดเป็นลักษณะของกระเพาะอาหาร,ลักษณะเป็นท่อขดไปมา ยาวประมาณ 6-8 เมตร,ลักษณะเป็นท่อหนา ติดกับช่องทวารหนัก,ลักษณะเป็นถุงขนาดใหญ่ ผนังด้านในเป็นรอยย่น,เป็นท่ออยู่หลังหลอดลมและปากเป็นที่อาหารและลมมาพบกัน,3,กระเพาะอาหารมีลักษณะเป็นถุงขนาดใหญ่ ผนังด้านในเป็นรอยย่น,ตอบ 3. กระเพาะอาหารมีลักษณะเป็นถุงขนาดใหญ่ ผนังด้านในเป็นรอยย่น
28,ข้อใดไม่ถูกต้องเกี่ยวกับการเป็นโรคความดันโลหิตสูง,อาจมีสาเหตุมาจากความอ้วน,อาจมีสาเหตุมาจากกินอาหารที่มีโซเดียมสูง,อาจมีสาเหตุมาจากกินอาหารที่มีน้ำตาลสูง,อาจมีสาเหตุมาจากกินอาหารที่เค็มจัด,3,"การเป็นโรคความดันโลหิตสูง มีแนวโน้มที่เกิดจากปัจจัยต่างๆ ยกเว้นอาหารที่มีน้ำตาลสูงเพราะ
หากกินมากๆ หรือกินอาหารที่มีน้ำตาลสูงต่อเนื่องกันนาน ๆ มีโอกาสที่จะเป็นโรคเบาหวาน","ตอบ 3. การเป็นโรคความดันโลหิตสูง มีแนวโน้มที่เกิดจากปัจจัยต่างๆ ยกเว้นอาหารที่มีน้ำตาลสูงเพราะ
หากกินมากๆ หรือกินอาหารที่มีน้ำตาลสูงต่อเนื่องกันนาน ๆ มีโอกาสที่จะเป็นโรคเบาหวาน"
