ข้อที่,คำถาม,1,2,3,4,เฉลย,เฉลย,เฉลย,,,,,,,,,
1,"""วันอัฎฐมีบูชา"" ตรงกับวันใด",แรม 1 ค่ำเดือน 6,วันแรม 8 ค่ำ เดือน 6,ขึ้น 1 ค่ำ เดือน 8,วันขึ้น 8 ค่ำ เดือน 8,2,"วันแรม 8 ค่ำ เดือน 6 เพราะวันอัฏฐมีบูชา เป็นวันถวายพระเพลิงพระพุทธสรีระของ
พระพุทธเจ้าที่เมืองกุสินาร า มีพระมหากัสสปะเป็นประชาชน ตรงกับวันแรม 8 ค่ำ เดือน 6
","ตอบ 2. วันแรม 8 ค่ำ เดือน 6 เพราะวันอัฏฐมีบูชา เป็นวันถวายพระเพลิงพระพุทธสรีระของ
พระพุทธเจ้าที่เมืองกุสินาร า มีพระมหากัสสปะเป็นประชาชน ตรงกับวันแรม 8 ค่ำ เดือน 6
",,,,,,,,,
2,ธรรมหมวดแรกที่พระพุทธเจ้าทรงแสดงปฐมเทศนาคือหมวดใด,อริยสัจ 4,โอวาท 3,เบญจศีล-เบญจธรรม,ธัมมจักกัปปวัตนสูตร,4,"ธัมมจักกัปปวัตนสูตร เพราะหลังจากพระพุทธเจ้าตรัสรู้แล้วได้เสด็จไปที่ป่าอิสิปตนมฤคทายวัน
เพื่อโปรดปัญจวัคคีย์ทั้ง 5 โดยแสดงธรรมหมวดแรกคือ ธัมมจักกัปปวัตนสูตร","ตอบ 4. ธัมมจักกัปปวัตนสูตร เพราะหลังจากพระพุทธเจ้าตรัสรู้แล้วได้เสด็จไปที่ป่าอิสิปตนมฤคทายวัน
เพื่อโปรดปัญจวัคคีย์ทั้ง 5 โดยแสดงธรรมหมวดแรกคือ ธัมมจักกัปปวัตนสูตร",,,,,,,,,
3,"""สัพพทาฐิชาดก"" กล่าวถึงสัตว์ประเภทใดที่รอบรู้ปฐวีวิชัยมนต์",เสือ,สุนัขจิ้งจอก,สิงโต,กวาง,2,"สุนัขจิ้งจอก เพราะในชาดกเรื่อง สัพพทาฐิชาดก พระโพธิสัตว์ซึ่งเป็นปุโรหิตได้สาธยายมนต์
เมื่อสุนัขจิ้งจอกได้ฟังมนต์ปฐวีวิชัยมนต์ก็ท่องได้อย่างคล่องแคล่ว แล้วนำมนต์ไปบังคับสัตว์
ตัวอื่นให้อยู่ในอำนาจของตน จะชิงบัลลังก์จากเจ้าเมืองพาราณสี","ตอบ 2. สุนัขจิ้งจอก เพราะในชาดกเรื่อง สัพพทาฐิชาดก พระโพธิสัตว์ซึ่งเป็นปุโรหิตได้สาธยายมนต์
เมื่อสุนัขจิ้งจอกได้ฟังมนต์ปฐวีวิชัยมนต์ก็ท่องได้อย่างคล่องแคล่ว แล้วนำมนต์ไปบังคับสัตว์
ตัวอื่นให้อยู่ในอำนาจของตน จะชิงบัลลังก์จากเจ้าเมืองพาราณสี",,,,,,,,,
4,พระพุทธศาสนามีความสำคัญต่อสังคมไทยมาตั้งแต่เมื่อใด,ตั้งแต่ก่อนสมัยสุโขทัย,สมันสุโขทัย,สมัยอยุธยา,สมัยธนบุรี,2,สมัยสุโขทัย เพราะพระพุทธศาสนาประดิษฐานครั้งแรกในสุโขทัยและสืบทอดต่อมาเรื่อยๆ,ตอบ 2. สมัยสุโขทัย เพราะพระพุทธศาสนาประดิษฐานครั้งแรกในสุโขทัยและสืบทอดต่อมาเรื่อยๆ,,,,,,,,,
5,"""สิกขาคารวตา"" ในหลักธรรมเรื่องคารวะ 6 หมายถึงสิ่งใด",เคารพในพระพุทธเจ้า,เคารพในกรพธรรม,เคารพในพระสงฆ์,เคารพในการศึกษา,4,"เคารพในการศึกา เพราะหลักธรรมเรื่องคารวะ 6 ประกอบด้วยการเคารพในสิ่งต่างๆ 6 ประการ
 ดังนี้ พุทธคารวตา คือ การเคารพในพระพุทธเจ้า, ธัมมคารวตา คือ เคารพในพระธรรม, สังฆคารวตา คือ เคารพในพระสงฆ์, สิกขาคารวตา คือ เคารพในการศึกษา, อัปปมาทคารวตา คือ เคารพในความไม่ประมาท
ปฏิสันถารคารวตา คือ เคารพในการต้อนรับ","ตอบ 4. เคารพในการศึกา เพราะหลักธรรมเรื่องคารวะ 6 ประกอบด้วยการเคารพในสิ่งต่างๆ 6 ประการ
 ดังนี้ พุทธคารวตา คือ การเคารพในพระพุทธเจ้า, ธัมมคารวตา คือ เคารพในพระธรรม, สังฆคารวตา คือ เคารพในพระสงฆ์, สิกขาคารวตา คือ เคารพในการศึกษา, อัปปมาทคารวตา คือ เคารพในความไม่ประมาท
ปฏิสันถารคารวตา คือ เคารพในการต้อนรับ",,,,,,,,,
6,"""การฝึกอบรมในด้านสติปัญญา"" ในหลักธรรมเรื่องไตรสิกขา หมายถึงข้อใด",ศีลสิกขา,จิตสิกขา,ปัญญาสิกขา,สมาธิสิกขา,3,"ปัญญาสิกขา เพราะหลักธรรมเรื่องไตรสิกขา ประกอบด้วย 3 ประการ ได้แก่ ศีลสิกขา จิตสิกขา
และปัญญาสิกขา โดยปัญญาสิกขา เป็นการศึกษาทางด้านสติปญญาให้มีความรู้ในด้านต่างๆ 
อย่างรอบด้านตามความป็นจริง","ตอบ 3. ปัญญาสิกขา เพราะหลักธรรมเรื่องไตรสิกขา ประกอบด้วย 3 ประการ ได้แก่ ศีลสิกขา จิตสิกขา
และปัญญาสิกขา โดยปัญญาสิกขา เป็นการศึกษาทางด้านสติปญญาให้มีความรู้ในด้านต่างๆ 
อย่างรอบด้านตามความป็นจริง",,,,,,,,,
7,การส่งความปราถนาดีต่อผู้อื่น สามารถแสดงออกได้ด้วยวิธีใด,การไหว้,การแผ่เมตตา,การกรวดน้ำ,การนั่งสมาธิ,2,"การแผ่เมตตา เพราะการส่งความปราถนาดีสู่ผู้อื่นด้วยจิตบริสุทธิ์ช่วยให้เรามีจิตใจอ่อนโยน สงบ
แสดงออกได้โดยการแผ่เมตตา","ตอบ 2. การแผ่เมตตา เพราะการส่งความปราถนาดีสู่ผู้อื่นด้วยจิตบริสุทธิ์ช่วยให้เรามีจิตใจอ่อนโยน สงบ
แสดงออกได้โดยการแผ่เมตตา",,,,,,,,,
8,"""ความจริงอันประเสริฐ"" ในพระพุทธศาสนาหมายถึงหลักธรรมในข้อใด",สังคหวัตถุ 4,อริยสัจ 4,วุฒิธรรม 4,พรหมวิหาร 4,2,"อริยสัจ 4 เพราะความจริงอันประเสริฐซึ่งเป็นหัวใจของพระพุทธศาสนาที่พระพุทธเจ้าทรงค้นพบ
จากการรัสรู้ ได้แก่ หลักธรรมเรื่องอริยสัจ 4 ","ตอบ 2. อริยสัจ 4 เพราะความจริงอันประเสริฐซึ่งเป็นหัวใจของพระพุทธศาสนาที่พระพุทธเจ้าทรงค้นพบ
จากการรัสรู้ ได้แก่ หลักธรรมเรื่องอริยสัจ 4 ",,,,,,,,,
9,การประกอบพิธีใดเป็นการยืนยันถึงการยอมรับนับถือในศาสนาคริสต์,ศีลล้างบาป,ศีลกำลัง,ศีลมหาสนิท,ศีลแก้บาป,2,ศีลกำลัง เพราะการประกอบพิธีรับศิลกำลัง เป็นพิธีกรรมเพื่อที่จะยืนยันการยอมรับนับถือศาสนาคริสต์,ตอบ 2  ศีลกำลัง เพราะการประกอบพิธีรับศิลกำลัง เป็นพิธีกรรมเพื่อที่จะยืนยันการยอมรับนับถือศาสนาคริสต์,,,,,,,,,
10,วันสำคัญทางพระพุทธศาสนาใดที่มีการปฏิบัติแตกต่างไปจากวันสำคัญอื่น,วันวิสาขบูชา,วันอาสาฬหบูชา,วันมาฆบูชา,วันอัฎฐมีบูชา,4,"วันอัฏฐมีบูชา เพราะวันสำคัญทางพระพุทธศาสนาที่มีการปฏิบัติแตกต่างไปจากวันสำคัญ
ทางพระพุทธศาสนาอื่น คือ  วันอัฏฐมีบูชา เนื่องจากไม่มีการเวียนเทียนรอบพระอุโบสถในช่วงค่ำ แต่วัน
สำคัญอื่นจะมีการเวียนเทียนรอบอุโบสถ","ตอบ 4  วันอัฏฐมีบูชา เพราะวันสำคัญทางพระพุทธศาสนาที่มีการปฏิบัติแตกต่างไปจากวันสำคัญ
ทางพระพุทธศาสนาอื่น คือ  วันอัฏฐมีบูชา เนื่องจากไม่มีการเวียนเทียนรอบพระอุโบสถในช่วงค่ำ แต่วัน
สำคัญอื่นจะมีการเวียนเทียนรอบอุโบสถ",,,,,,,,,
